rate,title,category,count,brief,author
8.8,刺客聂隐娘（侯孝贤电影剧本原作）, 图书 / 虚构 ,186,"本书为《行云纪——<刺客聂隐娘>拍摄侧录》附录，包括《刺客聂隐娘》剧本及故事大纲，以及唐代传奇故事原著。 你只需要于五月二十日星期三，在戛纳观看《刺客聂隐娘》壮丽的黑白影像的序幕，…
",

8.6,质数的孤独, 图书 / 虚构 ,83,"《质数的孤独》是意大利八〇后作家、粒子物理学博士保罗·乔尔达诺的处女作，2008年出版后，即获得意大利最高文学奖斯特雷加奖，并迅速成为欧美超级畅销书，迄今在欧洲销量已超过500万册。同…
",

8.2,The Great Gatsby（了不起的盖茨比）, 图书 / 虚构 ,82,"The Great Gatsby is a novel by the American author F. Scott Fitzgerald. First published on April 10, 1925, it is set on Long Island's North Shore and in New York City during the …
",

,菲利普·迪克作品集（套装全5册）, 图书 / 虚构 ,,"·《银翼杀手》《银翼杀手2049》原著小说 ·美国科幻文学界的传奇人物，雨果奖和坎贝尔奖得主菲利普·迪克代表作品 【仿生人会梦见电子羊吗？】《银翼杀手》《银翼杀手2049》原著小说，科幻…
",

8.2,猫鼠游戏, 图书 / 虚构 ,25,"每个人的成长都是疯狂的，有些人还顺便逼疯了全世界。 12岁时，小弗兰克父母离异，15岁，他从父亲那骗了3400美元，此后这一数字迅速攀升。在21岁前，他伪装了六年飞行员、一年医生、九个月律…
",

9.8,哈利·波特与密室, 图书 / 虚构 ,52,"此版本为中文翻译版，本书的英文原版：https://read.douban.com/ebook/23322857/ 「有一个阴谋，哈利·波特。今年霍格沃茨魔法学校会有最恐怖的事情发生。」这年暑假，哈利度过最糟糕的生…
",

8.4,地狱, 图书 / 虚构 ,251,"根据《地狱》拍摄的、汤姆•汉克斯主演电影《但丁密码》将于10月28日在国内上映。 继全球风靡的《达•芬奇密码》、《天使与魔鬼》、《失落的秘符》之后，丹•布朗对历史、艺术、密码与…
",

8.0,刺客信条：遗弃, 图书 / 虚构 ,21,"本书基于育碧娱乐软件公司的畅销游戏：”刺客信条Ⅲ“改编。 1735年的伦敦，从能够握剑的年纪起，海瑟姆·肯威就在学习用剑的技巧了。 当他的家族宅邸遭受攻击之时——他的父亲被谋杀，姐姐…
",

9.2,夏有乔木，雅望天堂.2, 图书 / 虚构 ,59,"延续《夏有乔木雅望天堂1》的故事，这个故事主要是写的第一部里面那个魔鬼一般的少年——曲蔚然。其实他是魔鬼，又是天使。 曲蔚然是个品学兼优的好孩子，他总是轻柔优雅的轻笑着，像个贵族…
",

9.8,红色（下）, 图书 / 虚构 ,51,"红色（上） https://read.douban.com/ebook/16608382/ 1937年，淞沪会战硝烟未散，上海沦陷。 徐天，三角地菜场的一个普通会计， 晕血，红色色盲，貌不惊人，一次帮助我党货船的安全撤离…
",

9.2,推拿, 图书 / 虚构 ,158,"小说以无与伦比的细腻而熨帖的文笔，饱满而生动的叙述，写出一群盲人在急剧发展的都市丛林中的艰辛奋斗、日常劳作、梦想与尊严。 无论中西，明眼人作家写盲人多少有点“隔”，为了克服这“隔…
",

9.6,红色（上）, 图书 / 虚构 ,62,"红色（下） https://read.douban.com/ebook/15637106/ 1937年，淞沪会战硝烟未散，上海沦陷。 徐天，三角地菜场的一个普通会计， 晕血，红色色盲，貌不惊人，一次帮助我党货船的安全撤离…
",

9.4,清明上河图密码：隐藏在千古名画中的阴谋与杀局4, 图书 / 虚构 ,73,"北宋手工业全貌！全画824个人物逐一复活，一起拉开北宋帝国覆灭的序幕。口碑奇好！百万人持续追读，豆瓣评分8分以上。同名影视火热启动中。 全图824位人物，每个人都有名有姓，佯装、埋伏在…
",

,琼瑶作品全集（套装共60册）, 图书 / 虚构 ,,"有华人的地方就有琼瑶，数字版权大陆首次授权《琼瑶作品全集》（共60册）。其中收录琼瑶自传《我的故事》，以及《还珠格格》《一帘幽梦》《烟雨蒙蒙》《苍天有泪》《梅花烙》《窗外》《青青河…
",

9.0,山楂树之恋, 图书 / 虚构 ,98,"这是个令所有中国人心酸落泪的故事。它完全是原作者的真实经历。老三死后，1977，原作者(我们叫她静秋吧)已经顶职参加了工作，在L省K市八中附小教书。当老三的预言一个接一个开始成为现实的时…
",

9.0,原来你还在这里, 图书 / 虚构 ,275,"你心中是否也有这样一个人？他离开后，生活还在继续，他留下的痕迹被平淡的日子逐渐抹去。你很少想起他，没有他也能过得很好。然而在那些个猝不及防的梦里，他又出现在你的身边，第一次说出分…
",

,朝圣者, 图书 / 虚构 ,7,"一家低廉的旅馆里，一名年轻的女性被害身亡，她的牙齿被悉数拔掉，脸和五指皆溶解在强酸里，现场没有一丝关于她身份的线索。 一栋豪宅中，一位年轻的富豪坠楼身亡，没有目击证人，没有监控录…
",

9.8,哈利·波特与“混血王子”, 图书 / 虚构 ,18,"此版本为中文翻译版，本书的英文原版：https://read.douban.com/ebook/23323079/ 「它果然在那儿，悬挂在学校上空：那个绿得耀眼的骷髅，嘴里吐出蛇信子般的舌头，食死徒们无论什么时候闯…
",

,极光之恋, 图书 / 虚构 ,,"电视剧《极光之恋》同名原著。 女孩韩星子拥有着高超的表演天赋，用自己的表演向全世界的观众传递爱与希望是她一直以来的梦想。为此她在留学美国期间辗转于大大小小的舞台，用心诠释每一个角…
",

,昆虫记 第一卷, 图书 / 非虚构 ,1,"《昆虫记第一卷：高明的杀手》是一部涵跨文学与科学领域的经典巨著，百余年来一直誉满全球。本套全译插图珍藏本在最大限度重现《昆虫记》原著全貌的同时兼顾原著的文学性、可读性，特别插入了…
",

9.2,英国病人, 图书 / 虚构 ,18,"迈克尔·翁达杰用优美而抒情的笔触，描绘了二次世界大战末期，意大利一栋废弃别墅里，四个伤心人的因缘际会。他们生活在世外桃源一般的风景中，却无法享受战争结束带来的和平与安宁。 在战争…
",

9.0,真幌站前多田便利屋, 图书 / 虚构 ,106,"《真幌站前多田便利屋》讲述的是两个离异男子在担任“便利屋”工作中遇到的大小事件。多田启介在真幌站前开着一间为人排忧解难打杂帮忙的便利屋，这份工作让他作为一个外人踏入很多人的家，并…
",

,地球百子1：重返地球, 图书 / 虚构 ,9,"一场毁灭性的核战争之后，地球表面被彻底摧毁。幸存的人类，逃入太空生活。 300年来，从未有人再踏上地球一步，直到现在——太空舱故障，氧气不够所有人存活。100名有犯罪记录的青少年被遣返…
",

,刺客信条：黑旗, 图书 / 虚构 ,8,"本书根据育碧软件娱乐公司畅销游戏“刺客信条：黑旗”改编。 这是海盗的黄金年代，新世界正在向他们招手。爱德华·肯威，这位自视甚高的羊毛商人之子梦想着黄金 ，光荣的海上生涯对他来说充…
",

7.8,纸之月, 图书 / 虚构 ,11,"一起轰动日本的银行公款挪用案件，嫌疑人是极为普通的41岁家庭主妇梅泽梨花。东窗事发后，梨花只身踏上逃亡之路，流浪于泰国清迈，而所有她身边的人，不可置信之余都在追问，究竟是怎样的实际…
",

